,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Repayment Of Debt,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,-318000.0,0.0
2025-03-31,44702000.0,44702000.0,25439000.0,-6344000.0,-5832000.0,-504000.0,-6823000.0,-6823000.0,-0.21,-0.21,163590000.0,107737000.0,98201000.0,43662000.0,64175000.0,70291000.0,65389000.0,64075000.0,-299001000.0,2265000.0,-642000.0,-3465000.0,1623000.0,-642000.0,-320000.0,
2025-06-30,52886000.0,52886000.0,28529000.0,-4268000.0,-4268000.0,366000.0,-4817000.0,-4817000.0,-0.15,-0.15,162819000.0,108460000.0,102071000.0,49175000.0,62584000.0,65486000.0,60748000.0,59285000.0,-303819000.0,436000.0,-1513000.0,-3727000.0,-1077000.0,-1513000.0,-323000.0,
2025-09-30,47504000.0,47504000.0,26036000.0,-6487000.0,-4208000.0,1531000.0,-4974000.0,-4974000.0,-0.15,-0.15,151279000.0,97004000.0,93711000.0,42012000.0,59925000.0,57604000.0,57568000.0,54992000.0,-308793000.0,-3837000.0,-422000.0,-3623000.0,-4259000.0,-422000.0,,
2025-12-31,36366000.0,36366000.0,21295000.0,-6575000.0,-11092000.0,-3452000.0,-11554000.0,-11554000.0,,,144305000.0,93051000.0,98159000.0,47350000.0,60107000.0,56188000.0,46146000.0,45701000.0,-320346000.0,2682000.0,-346000.0,-3753000.0,2336000.0,-346000.0,,
2026-03-31,40748000.0,40748000.0,23953000.0,-5938000.0,-5684000.0,-966000.0,-6478000.0,-6478000.0,-0.19,-0.19,138080000.0,85714000.0,98107000.0,48729000.0,59047000.0,47864000.0,39973000.0,36985000.0,-326824000.0,-1256000.0,-3269000.0,-3799000.0,-1925000.0,-669000.0,-582000.0,
