,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,17842182.61,3978141.05,2090270.35,1858949.21,1273600.0,,1558633.93,15751912.26,2119191.84,4319989.91
2025-06-30,20455821.84,6564238.2,5065428.87,848782.27,3980120.96,3529872.71,450248.25,15390392.97,5715455.93,4014565.62
2025-12-31,22288115.81,8462654.7,8141508.27,3930038.01,7527000.0,7092649.73,434350.27,14146607.54,4532616.69,2720780.19
