,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Repayment Of Debt,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,70407000.0,70407000.0,23529000.0,2494000.0,2068000.0,6100000.0,1563000.0,1563000.0,0.16,0.16,320293000.0,183974000.0,186942000.0,117717000.0,91038000.0,36538000.0,26058000.0,133409000.0,66257000.0,15543000.0,-4065000.0,-8190000.0,11380000.0,-4163000.0,-14397000.0,7603000.0
2025-06-30,71358000.0,71358000.0,25471000.0,3235000.0,4549000.0,8637000.0,2310000.0,2310000.0,0.23,0.23,311373000.0,174566000.0,187371000.0,120930000.0,99415000.0,42779000.0,28211000.0,124077000.0,53636000.0,9567000.0,-5316000.0,-994000.0,3961000.0,-5606000.0,5496000.0,2898000.0
2025-09-30,85116000.0,85116000.0,32849000.0,9044000.0,8735000.0,12930000.0,5453000.0,5453000.0,0.55,0.55,318864000.0,180195000.0,189535000.0,125543000.0,101669000.0,40532000.0,33335000.0,129409000.0,54652000.0,8179000.0,-4231000.0,1259000.0,3853000.0,-4326000.0,-14268000.0,17145000.0
2025-12-31,102790000.0,102790000.0,38908000.0,16930000.0,20938000.0,25334000.0,10261000.0,10261000.0,,,311361000.0,167720000.0,170207000.0,102087000.0,84713000.0,32446000.0,25451000.0,141118000.0,65633000.0,15515000.0,-5500000.0,-17904000.0,10836000.0,-4679000.0,-2510000.0,-13461000.0
2026-03-31,98218000.0,98218000.0,30913000.0,6461000.0,6680000.0,11298000.0,4189000.0,4189000.0,0.42,0.42,329893000.0,187575000.0,183704000.0,118472000.0,91309000.0,33246000.0,32585000.0,146288000.0,69103000.0,3406000.0,-2899000.0,6176000.0,444000.0,-2962000.0,-11138000.0,19072000.0
