,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure
2024-12-31,36416000000.0,36416000000.0,5426000000.0,1767000000.0,2245000000.0,4400000000.0,1497000000.0,836600000.0,,,267732000000.0,96387000000.0,172729000000.0,87689000000.0,85504000000.0,63664000000.0,19287000000.0,92315000000.0,8698000000.0,3834000000.0,-3450000000.0,1099000000.0,77000000.0,-3757000000.0
2025-03-31,33758000000.0,33758000000.0,5501000000.0,3142000000.0,3256000000.0,5412000000.0,2097000000.0,2097000000.0,3.38,3.38,265393000000.0,95949000000.0,168899000000.0,81045000000.0,,,19682000000.0,93771000000.0,14904000000.0,3512000000.0,-2451000000.0,-649000000.0,649000000.0,-2863000000.0
2025-06-30,33927000000.0,33927000000.0,5575000000.0,2661000000.0,2773000000.0,4909000000.0,1752000000.0,1752000000.0,2.85,2.85,259708000000.0,93144000000.0,165758000000.0,81253000000.0,,,18085000000.0,91790000000.0,11891000000.0,2483000000.0,-2182000000.0,-1782000000.0,156000000.0,-2327000000.0
2025-12-31,33454000000.0,33454000000.0,4919000000.0,1917000000.0,2329000000.0,4613000000.0,1771000000.0,1125500000.0,,,265967000000.0,91648000000.0,168061000000.0,81724000000.0,88350000000.0,67004000000.0,18854000000.0,95697000000.0,9924000000.0,636000000.0,-3504000000.0,2450000000.0,-2701000000.0,-3337000000.0
2026-03-31,31007000000.0,31007000000.0,4566000000.0,2004000000.0,2440000000.0,4828000000.0,1622000000.0,1622000000.0,2.68,2.68,270624000000.0,95260000000.0,171069000000.0,81232000000.0,,,19011000000.0,97267000000.0,14028000000.0,1139000000.0,-1878000000.0,866000000.0,-603000000.0,-1742000000.0
