,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital
2024-12-31,2867900000.0,1938000000.0,1532500000.0,983000000.0,58300000.0,369300000.0,1092500000.0,955000000.0
2025-06-30,2764000000.0,,1475800000.0,,55700000.0,290100000.0,,
2025-12-31,2883300000.0,1914100000.0,1492100000.0,977400000.0,61000000.0,338600000.0,1160800000.0,936700000.0
2026-06-30,2964500000.0,1946500000.0,1528600000.0,1015300000.0,64300000.0,232200000.0,1184000000.0,931200000.0
