,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,15330000.0,15330000.0,5770000.0,-1131000.0,-970000.0,-8000.0,-1320000.0,-1320000.0,-0.04,-0.04,126928000.0,60733000.0,40405000.0,14073000.0,24756000.0,,38608000.0,85762000.0,46660000.0,44478000.0,-983000.0,-2334000.0,-701000.0,-983000.0
2025-06-30,14336000.0,14336000.0,6081000.0,-957000.0,-854000.0,106000.0,-1274000.0,-1274000.0,-0.04,-0.04,132694000.0,60091000.0,47539000.0,20974000.0,5264000.0,,22119000.0,84388000.0,39117000.0,43104000.0,-13676000.0,-5626000.0,2813000.0,-13676000.0
2025-09-30,13767000.0,13767000.0,4707000.0,-2625000.0,-2595000.0,-1566000.0,-3016000.0,-3016000.0,-0.09,-0.09,145381000.0,60604000.0,63351000.0,35747000.0,4606000.0,,19888000.0,81372000.0,24857000.0,40088000.0,-4783000.0,-13445000.0,15997000.0,-4783000.0
2025-12-31,9683000.0,9683000.0,1632000.0,-5687000.0,-3171000.0,-1845000.0,-3168000.0,-3168000.0,,,158595000.0,37664000.0,79662000.0,15719000.0,62493000.0,45357000.0,12540000.0,78204000.0,21945000.0,36920000.0,14864000.0,-38242000.0,15978000.0,-43922000.0
2026-03-31,12929000.0,12929000.0,5797000.0,-7703000.0,-7686000.0,708000.0,-8363000.0,-8363000.0,-0.25,-0.25,156479000.0,40362000.0,85873000.0,12069000.0,4144000.0,,16509000.0,69842000.0,28293000.0,28558000.0,-665000.0,-3676000.0,8309000.0,-665000.0
