,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Repayment Of Debt,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,0.2,0.2,,,,,,,,,,,,,,,,,
2025-06-30,380600000.0,380600000.0,249200000.0,233600000.0,415400000.0,418000000.0,183800000.0,132400000.0,0.12,0.12,33559800000.0,5128300000.0,18163000000.0,2549800000.0,13789900000.0,10902000000.0,2887900000.0,12454800000.0,2578500000.0,5841100000.0,199200000.0,24100000.0,-276800000.0,195000000.0,-4200000.0,-777700000.0,681100000.0
2025-09-30,386400000.0,386400000.0,252100000.0,236000000.0,73200000.0,76000000.0,241000000.0,188000000.0,0.17,0.16,32919000000.0,4700900000.0,17463400000.0,3159000000.0,13399800000.0,11122600000.0,2277200000.0,12479500000.0,1541900000.0,6032000000.0,199200000.0,-232200000.0,-578000000.0,194500000.0,-4700000.0,-769000000.0,191500000.0
2025-12-31,296500000.0,296500000.0,141900000.0,225700000.0,121100000.0,130600000.0,177100000.0,128400000.0,,,33690600000.0,5605500000.0,18668800000.0,2986800000.0,15177600000.0,11333600000.0,3617600000.0,11951600000.0,2618700000.0,6131900000.0,206500000.0,225800000.0,909600000.0,199700000.0,-6800000.0,-1498300000.0,2291800000.0
2026-03-31,296700000.0,296700000.0,165400000.0,231600000.0,216300000.0,219600000.0,100500000.0,55900000.0,0.05,0.05,34059600000.0,5778500000.0,18862100000.0,3296400000.0,15204700000.0,11482900000.0,3721800000.0,12113900000.0,2482100000.0,6188000000.0,199000000.0,-147900000.0,50500000.0,192500000.0,-6500000.0,-375900000.0,774600000.0
2026-06-30,382000000.0,382000000.0,242600000.0,228200000.0,227300000.0,234500000.0,81000000.0,31100000.0,0.03,0.03,33921000000.0,5346300000.0,19271400000.0,4751700000.0,15565500000.0,12141100000.0,3424400000.0,12437400000.0,594600000.0,6370000000.0,190900000.0,-136300000.0,-357500000.0,188300000.0,-2600000.0,-112400000.0,-167500000.0
