,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,323179000.0,162971590.0,188112000.0,85274090.0,122718950.0,87060120.0,22147090.0,131863000.0,77697500.0,51627000.0
2025-06-30,348662000.0,167523000.0,180250000.0,71001000.0,131173000.0,100279000.0,14457000.0,163567000.0,96522000.0,83331000.0
2025-12-31,379921000.0,178572730.0,195910000.0,75172420.0,139904730.0,113621760.0,13891000.0,176317000.0,103400310.0,95914000.0
