,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital
2024-12-31,2289400000.0,2289400000.0,1082800000.0,108900000.0,77600000.0,77600000.0,24500000.0,24500000.0,,,7140600000.0,4305200000.0,4312000000.0,2870900000.0,1718600000.0,119800000.0,368200000.0,2827700000.0,1434300000.0
2025-03-31,1989800000.0,1989800000.0,938100000.0,43400000.0,43400000.0,43400000.0,500000.0,500000.0,0.0,0.0,7402500000.0,4481900000.0,4748400000.0,3282500000.0,2593800000.0,994900000.0,283900000.0,2653200000.0,1199400000.0
2025-06-30,1942200000.0,1942200000.0,894700000.0,-13100000.0,-13100000.0,-13100000.0,-247000000.0,-247000000.0,-1.67,-1.67,7059400000.0,4307600000.0,4955400000.0,3498300000.0,2583900000.0,1051300000.0,292600000.0,2090600000.0,809300000.0
2025-12-31,1322300000.0,1322300000.0,525000000.0,-346700000.0,-399400000.0,-399400000.0,-336600000.0,-336600000.0,,,6454600000.0,3770300000.0,4693700000.0,3196800000.0,2582300000.0,1063500000.0,290000000.0,1760900000.0,573500000.0
2026-03-31,1863800000.0,1863800000.0,889000000.0,51800000.0,51800000.0,51800000.0,26500000.0,26500000.0,0.18,0.18,6585800000.0,3939700000.0,4711500000.0,3112400000.0,2892300000.0,1357600000.0,326200000.0,1874300000.0,827300000.0
