,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Repayment Of Debt,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2025-03-31,,,,,,,,,-0.26,-0.26,,,,,,,,,,,,,,,,,0.0
2025-06-30,550000000.0,550000000.0,99000000.0,24000000.0,16000000.0,61000000.0,-12000000.0,-12000000.0,,,4649000000.0,2177000000.0,3802000000.0,2032000000.0,1440000000.0,691000000.0,325000000.0,836000000.0,145000000.0,179000000.0,-48000000.0,-70000000.0,-151000000.0,-93000000.0,-45000000.0,,0.0
2025-09-30,591000000.0,591000000.0,123000000.0,45000000.0,48000000.0,95000000.0,12000000.0,12000000.0,,,4974000000.0,2480000000.0,4121000000.0,2031000000.0,1594000000.0,668000000.0,504000000.0,843000000.0,449000000.0,191000000.0,90000000.0,-55000000.0,143000000.0,38000000.0,-52000000.0,-150000000.0,300000000.0
2025-12-31,918000000.0,918000000.0,246000000.0,172000000.0,182000000.0,233000000.0,119000000.0,119000000.0,,,5427000000.0,2865000000.0,4425000000.0,2334000000.0,1634000000.0,250000000.0,933000000.0,991000000.0,531000000.0,309000000.0,505000000.0,-71000000.0,-3000000.0,433000000.0,-72000000.0,0.0,0.0
2026-03-31,496000000.0,496000000.0,69000000.0,-4000000.0,8000000.0,51000000.0,-19000000.0,-19000000.0,-0.16,-0.16,5547000000.0,2928000000.0,4558000000.0,2455000000.0,1653000000.0,362000000.0,820000000.0,979000000.0,473000000.0,290000000.0,-49000000.0,-65000000.0,1000000.0,-112000000.0,-63000000.0,,
2026-06-30,671000000.0,671000000.0,120000000.0,35000000.0,48000000.0,92000000.0,8000000.0,8000000.0,,,5700000000.0,2855000000.0,4722000000.0,2593000000.0,1690000000.0,600000000.0,589000000.0,968000000.0,262000000.0,239000000.0,21000000.0,-162000000.0,-87000000.0,-52000000.0,-73000000.0,,
