,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,8286091.0,7699270.0,1678223.0,1591528.0,156000.0,1357571.0,6607868.0,6107742.0,-1903580.0
2025-06-30,10238507.0,9887782.0,3657731.0,3538315.0,,1639342.0,6580776.0,6349467.0,-1917223.0
2025-12-31,8763832.0,8465983.0,2181775.0,2013521.0,157000.0,2301982.0,6582057.0,6452462.0,-1873768.0
