,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,19000.0,19000.0,-1196000.0,-4158000.0,-4112000.0,-3170000.0,-4013000.0,-4013000.0,-0.153329,-0.153329,55527000.0,19756000.0,10125000.0,6291000.0,17390000.0,45402000.0,13465000.0,-16856000.0,-5237000.0,-605000.0,0.0,-5842000.0,-605000.0
2025-06-30,19000.0,19000.0,-1552000.0,-4536000.0,-4536000.0,-3607000.0,-4388000.0,-4388000.0,-0.172495,-0.172495,51086000.0,16243000.0,10074000.0,6338000.0,14206000.0,41012000.0,9905000.0,-21245000.0,-3175000.0,-2000.0,0.0,-3177000.0,-2000.0
2025-09-30,79000.0,79000.0,-1858000.0,-4554000.0,-4554000.0,-3622000.0,-4292000.0,-4292000.0,-0.162912,-0.162912,42960000.0,9042000.0,6239000.0,2602000.0,6974000.0,36721000.0,6440000.0,-25537000.0,-7227000.0,-6000.0,0.0,-7233000.0,-6000.0
2025-12-31,-24000.0,-24000.0,-2097000.0,-6358000.0,-6286000.0,-5359000.0,-3817000.0,-3817000.0,,,41859000.0,5986000.0,6787000.0,3459000.0,4624000.0,35072000.0,2527000.0,-28438000.0,-2334000.0,-12000.0,0.0,-2346000.0,-12000.0
2026-03-31,0.0,0.0,-513000.0,-3039000.0,-3150000.0,-2234000.0,-3182000.0,-3182000.0,-0.124579,-0.124579,41168000.0,6331000.0,9016000.0,2944000.0,5163000.0,32152000.0,3387000.0,-31620000.0,-2467000.0,0.0,3000000.0,-2467000.0,
