,Total Revenue,Operating Revenue,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Total Liabilities Net Minority Interest,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Retained Earnings
2024-12-31,32925615.54,32925615.54,4505800.14,4505800.14,,,4041523000.0,3898706000.0,69674000.0,34732000.0,34942000.0,142817000.0,84647000.0
2025-03-31,36708200.0,36708200.0,3061500.0,3061500.0,0.393572,0.393572,4037636900.0,4037636900.0,,,35831100.0,,
2025-06-30,37885200.0,37885200.0,2412000.0,2412000.0,,,3982473900.0,3982473900.0,,,34342400.0,,
2025-09-30,,,,,,,,,,,,,
2025-12-31,38525535.03,38525535.03,5102353.55,5102353.55,,,4108796497.47,3955806423.66,72965898.95,38585332.32,34380566.63,152990073.81,94820290.73
2026-03-31,35800300.0,35800300.0,2810200.0,2810200.0,0.361266,0.361266,4052069900.0,4052069900.0,,,33033300.0,,
