,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,63362000.0,29177000.0,14237000.0,7130000.0,6187000.0,22007000.0,49151000.0,22047000.0,-12902000.0
2025-06-30,55435000.0,26409000.0,11539000.0,5978000.0,4274000.0,17810000.0,43829000.0,20431000.0,-18246000.0
2025-12-31,52808000.0,28325000.0,14028000.0,9711000.0,2928000.0,19874000.0,38780000.0,18614000.0,-23461000.0
