,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Repayment Of Debt,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,-500000000.0,-2141000.0
2025-03-31,483456000.0,483456000.0,308681000.0,125163000.0,126843000.0,170751000.0,90758000.0,90758000.0,0.42,0.41,5545369000.0,1742871000.0,2137492000.0,516944000.0,1408339000.0,769583000.0,638756000.0,3407877000.0,1225927000.0,2498974000.0,139740000.0,120081000.0,-286704000.0,95476000.0,-44264000.0,,
2025-06-30,533540000.0,533540000.0,334286000.0,135974000.0,134426000.0,183904000.0,96250000.0,96250000.0,0.463158,0.463158,5823758000.0,1818989000.0,2318268000.0,1128314000.0,1444036000.0,710221000.0,733815000.0,3505490000.0,690675000.0,2517965000.0,161435000.0,-41997000.0,-27994000.0,120599000.0,-40836000.0,,
2025-09-30,532583000.0,532583000.0,331259000.0,137293000.0,142944000.0,193910000.0,130043000.0,130043000.0,0.631579,0.631579,6553497000.0,2530937000.0,2904082000.0,973405000.0,2127192000.0,771598000.0,1355594000.0,3649415000.0,1557532000.0,2647574000.0,165019000.0,-156897000.0,614069000.0,114572000.0,-50447000.0,-60167000.0,
2025-12-31,540420000.0,540420000.0,325269000.0,121880000.0,119308000.0,168702000.0,107829000.0,107829000.0,0.523252,0.515789,6281232000.0,1995073000.0,2503078000.0,512137000.0,1812372000.0,815423000.0,839005000.0,3778154000.0,1482936000.0,2748390000.0,188132000.0,-226466000.0,-478347000.0,116553000.0,-71579000.0,-474000000.0,-2310000.0
2026-03-31,492320000.0,492320000.0,309603000.0,116626000.0,96880000.0,148091000.0,68043000.0,68043000.0,0.33,0.33,5782065000.0,1540254000.0,2450359000.0,479110000.0,1646557000.0,1000268000.0,646289000.0,3331706000.0,1061144000.0,2802017000.0,100629000.0,211474000.0,-503659000.0,52148000.0,-48481000.0,,
