,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Repayment Of Debt,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,,294776000.0,,,,,,,,,,,
2025-03-31,,,,,,,,,0.57,0.57,,,,,,,,,,,,,,,,0.0
2025-06-30,1311789000.0,1311789000.0,500352000.0,151949000.0,156792000.0,210674000.0,107028000.0,107028000.0,0.66,0.66,5624926000.0,2447865000.0,3391434000.0,2390971000.0,,297979000.0,2233097000.0,56894000.0,541805000.0,82979000.0,-41516000.0,-101514000.0,24250000.0,-58729000.0,0.0,144051000.0
2025-09-30,1365937000.0,1365937000.0,509860000.0,170974000.0,177634000.0,230269000.0,120786000.0,120786000.0,0.74,0.74,5713030000.0,2533390000.0,3365969000.0,2375978000.0,,287729000.0,2346666000.0,157412000.0,667013000.0,122372000.0,-67664000.0,-60249000.0,53914000.0,-68458000.0,-37623000.0,
2025-12-31,1559189000.0,1559189000.0,563290000.0,138218000.0,163666000.0,235954000.0,91858000.0,91858000.0,,,6087950000.0,2785282000.0,3634548000.0,2631072000.0,246984000.0,593679000.0,2453007000.0,154210000.0,770333000.0,544222000.0,-75099000.0,-128863000.0,449018000.0,-95204000.0,-144000000.0,37902000.0
2026-03-31,1273141000.0,1273141000.0,484585000.0,138227000.0,150132000.0,203647000.0,99726000.0,99726000.0,0.61,0.61,6099548000.0,2766280000.0,3501068000.0,2501900000.0,,415686000.0,2598085000.0,264380000.0,891444000.0,-124740000.0,-65610000.0,-22016000.0,-157877000.0,-33137000.0,-195000.0,2017000.0
2026-06-30,1442496000.0,1442496000.0,557341000.0,181540000.0,190483000.0,244394000.0,121785000.0,121785000.0,0.75,0.75,6078066000.0,2724825000.0,3575076000.0,2562482000.0,,333155000.0,2502595000.0,162343000.0,792887000.0,184949000.0,-33915000.0,-233301000.0,145695000.0,-39254000.0,-1244000.0,51000.0
