,Total Revenue,Operating Revenue,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Total Liabilities Net Minority Interest,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Retained Earnings
2024-12-31,,,,,,,,,54886000000.0,,,,
2025-03-31,3062000000.0,3062000000.0,834000000.0,834000000.0,0.73,0.73,573668000000.0,537373000000.0,,,77029000000.0,34967000000.0,19455000000.0
2025-06-30,3459000000.0,3459000000.0,462000000.0,209000000.0,,,581818000000.0,546590000000.0,75825000000.0,1867000000.0,72463000000.0,33834000000.0,18943000000.0
2025-09-30,2496000000.0,2496000000.0,592000000.0,591000000.0,,,592951000000.0,557180000000.0,,,69268000000.0,34315000000.0,19388000000.0
2025-12-31,3917000000.0,3917000000.0,737000000.0,682000000.0,0.672124,0.672124,590092000000.0,554728000000.0,72543000000.0,3386000000.0,67729000000.0,33829000000.0,19276000000.0
2026-03-31,3218000000.0,3218000000.0,913000000.0,913000000.0,0.84,0.84,603298000000.0,567627000000.0,,,65465000000.0,34088000000.0,19740000000.0
