,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2025-03-31,,6790492.36,5595127.03,4067740.33,2566535.91,18006020.78,2722752.03,4539688.3
2025-09-30,25886398.48,9052609.63,8060377.7,5719997.33,6524209.93,17826020.78,3332612.3,4539688.3
2026-03-31,23162479.47,6643148.72,5336458.69,2924196.57,3649320.34,17826020.78,3718952.15,4539688.3
