,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Repayment Of Debt,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2025-03-31,25579278.16,25579278.16,20017281.67,16315542.91,16398543.87,16477102.84,10933923.08,10933923.08,1.093392,1.093392,74831135.71,74286593.69,28740860.0,5976298.42,5850000.0,37483690.25,46090275.71,68310295.27,34930478.73,14214975.76,33442.35,-638437.5,14143102.55,-71873.21,-637500.0,0.0
2025-06-30,18522769.93,18522769.93,11136791.72,7540163.67,7518361.09,7557122.39,5058434.79,5058434.79,,,57662777.16,57096879.71,30497872.83,5949900.26,5602000.0,19922982.65,27164904.33,51146979.45,15988913.52,6773332.24,-55317.47,-24480281.25,6723034.7,-50297.54,-450000.0,
2025-09-30,26570674.23,26570674.23,19878281.14,17036644.73,17068250.51,17109177.76,11884624.21,11884624.21,,,78786373.09,78230093.93,39734717.6,5337827.92,12760621.62,38861799.65,39051655.49,72892266.01,27873537.74,11771823.11,10575.84,7359793.51,11746305.71,-25517.4,-637500.0,
2025-12-31,32740552.83,32740552.83,25923900.19,22589517.33,22651763.44,22688770.0,14732064.92,14732064.92,,,101007984.63,100445597.82,47226788.98,9735459.74,12517000.0,46698790.04,53781195.65,90710138.08,42605602.65,8068329.74,21204.33,-459279.71,8025373.51,-42956.23,-450000.0,0.0
2026-03-31,40284272.29,40284272.29,32488841.53,27309081.78,27505104.41,27620141.28,18387596.14,18387596.14,1.83876,1.83876,124773902.2,123725484.44,52606436.74,5703431.5,11904840.64,68655747.64,72167465.46,118022052.94,60993198.79,23029664.45,-367323.1,-542866.74,22580995.6,-448668.85,-450000.0,
