,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,169166946.34,166765937.46,15994012.4,4168628.32,130781863.75,153172933.94,162597309.14,145481136.94
2025-06-30,176305589.42,173992986.66,24571744.19,13797065.13,139725839.02,151733845.23,160195921.53,144443377.23
2025-12-31,159534635.5,155844777.33,15750018.31,4612339.35,123708919.18,143784617.19,151232437.98,136514330.19
