,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,236730000.0,112521000.0,184720000.0,125626000.0,79167000.0,5013000.0,5387000.0,52010000.0,-13105000.0,17939000.0
2025-06-30,243453000.0,121411000.0,193497000.0,138618000.0,84150000.0,,3455000.0,49956000.0,-17207000.0,16190000.0
2025-12-31,215470000.0,96007000.0,161180000.0,111867000.0,70930000.0,9564000.0,2936000.0,54290000.0,-15860000.0,20006000.0
