,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,19533000.0,11260000.0,6782000.0,3144000.0,4929000.0,5212000.0,12751000.0,8116000.0,6686000.0
2025-12-31,18540000.0,10368000.0,5848000.0,2694000.0,4324000.0,3733000.0,12692000.0,7674000.0,6627000.0
2026-06-30,19602000.0,10416000.0,6810000.0,2620000.0,2735000.0,3614000.0,12792000.0,7796000.0,6727000.0
