,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Repayment Of Debt,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,,,9555000000.0,,,,,,,,,,,
2025-03-31,8127000000.0,8127000000.0,-43000000.0,-707000000.0,-753000000.0,-106000000.0,-885000000.0,-885000000.0,-0.74,-0.74,48140000000.0,16831000000.0,37603000000.0,21126000000.0,14099000000.0,,1708000000.0,10488000000.0,-4295000000.0,4758000000.0,1766000000.0,-1577000000.0,-267000000.0,852000000.0,-914000000.0,-993000000.0,891000000.0
2025-06-30,10322000000.0,10322000000.0,1482000000.0,727000000.0,1163000000.0,1791000000.0,1012000000.0,1012000000.0,0.84,0.84,48137000000.0,16932000000.0,37795000000.0,21570000000.0,14021000000.0,,1800000000.0,10292000000.0,-4638000000.0,5371000000.0,1014000000.0,-421000000.0,-494000000.0,131000000.0,-883000000.0,-301000000.0,522000000.0
2025-09-30,11199000000.0,11199000000.0,2067000000.0,1189000000.0,1460000000.0,2084000000.0,966000000.0,966000000.0,,,48827000000.0,17369000000.0,37407000000.0,20448000000.0,14463000000.0,,1371000000.0,11359000000.0,-3079000000.0,6200000000.0,1108000000.0,-1411000000.0,-126000000.0,414000000.0,-694000000.0,-661000000.0,737000000.0
2025-12-31,9949000000.0,9949000000.0,1436000000.0,387000000.0,597000000.0,1218000000.0,246000000.0,246000000.0,,,48394000000.0,16158000000.0,36683000000.0,19941000000.0,14554000000.0,9935000000.0,1160000000.0,11649000000.0,-3783000000.0,6553000000.0,98000000.0,390000000.0,-700000000.0,-1892000000.0,-1990000000.0,-793000000.0,116000000.0
2026-03-31,8746000000.0,8746000000.0,319000000.0,-420000000.0,-462000000.0,180000000.0,-665000000.0,-665000000.0,-0.55,-0.55,50696000000.0,17831000000.0,38298000000.0,22056000000.0,13020000000.0,,1077000000.0,12332000000.0,-4225000000.0,5937000000.0,2083000000.0,-224000000.0,-1945000000.0,965000000.0,-1118000000.0,-1764000000.0,0.0
