,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure
2024-12-31,,,,,,,,,,,,,,,159500000.0,,,,,,,,
2025-03-31,868500000.0,868500000.0,92600000.0,52100000.0,48300000.0,173700000.0,-16300000.0,-16300000.0,-0.18,-0.18,19827000000.0,3643900000.0,14713200000.0,2257800000.0,,2401600000.0,4779400000.0,1386100000.0,12100000.0,-107500000.0,-121800000.0,-220000000.0,-232100000.0
2025-06-30,1121500000.0,1121500000.0,280900000.0,254300000.0,269800000.0,399200000.0,111100000.0,111100000.0,1.2,1.2,19835400000.0,3677900000.0,14695100000.0,2292700000.0,,2369700000.0,4827100000.0,1385200000.0,312500000.0,-341000000.0,-100400000.0,11100000.0,-301400000.0
2025-09-30,1350300000.0,1350300000.0,503600000.0,450500000.0,540600000.0,683100000.0,302900000.0,302900000.0,3.28,3.28,20398700000.0,4102200000.0,14914700000.0,2197400000.0,,2863400000.0,5141700000.0,1904800000.0,681000000.0,-472100000.0,27900000.0,415100000.0,-265900000.0
2025-12-31,1091900000.0,1091900000.0,399100000.0,106200000.0,142300000.0,296500000.0,34100000.0,34100000.0,,,20484300000.0,3883300000.0,14966300000.0,2478700000.0,234700000.0,2477200000.0,5181200000.0,1404600000.0,322700000.0,-306400000.0,-53500000.0,63600000.0,-259100000.0
2026-03-31,882100000.0,882100000.0,93000000.0,56300000.0,46600000.0,186300000.0,-17900000.0,-17900000.0,-0.19,-0.19,20436200000.0,3627300000.0,14909300000.0,2399600000.0,,2519300000.0,5200800000.0,1227700000.0,700000.0,-276800000.0,66500000.0,-213600000.0,-214300000.0
