,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure
2024-12-31,,,,,,,,,0.2,0.2,,,,,,,,,,,,,
2025-03-31,251687000.0,251687000.0,83368000.0,49339000.0,54428000.0,73514000.0,38137000.0,38137000.0,0.25,0.25,1485729000.0,611897000.0,646913000.0,428072000.0,84025000.0,26091000.0,836655000.0,183825000.0,47507000.0,8827000.0,-47591000.0,17624000.0,-29883000.0
2025-06-30,256460000.0,256460000.0,96099000.0,60122000.0,65053000.0,84778000.0,45564000.0,45564000.0,0.3,0.3,1528150000.0,648453000.0,663124000.0,412769000.0,,28288000.0,863257000.0,235684000.0,55002000.0,-37419000.0,-14711000.0,16713000.0,-38289000.0
2025-09-30,247583000.0,247583000.0,76082000.0,41370000.0,47226000.0,69320000.0,33555000.0,33555000.0,,,1598646000.0,681401000.0,704897000.0,453851000.0,83014000.0,22470000.0,891783000.0,227550000.0,52337000.0,-70869000.0,12587000.0,-3121000.0,-55458000.0
2025-12-31,240188000.0,240188000.0,79750000.0,39046000.0,46044000.0,67456000.0,33180000.0,33180000.0,0.22,0.22,1627782000.0,698997000.0,695461000.0,442715000.0,,24587000.0,930172000.0,256282000.0,3399000.0,-43707000.0,42587000.0,-20039000.0,-23438000.0
2026-03-31,247880000.0,247880000.0,75097000.0,39548000.0,44322000.0,66187000.0,31013000.0,31013000.0,0.21,0.21,1610038000.0,669218000.0,665900000.0,421708000.0,,27813000.0,942239000.0,247510000.0,91721000.0,-13859000.0,-75470000.0,65055000.0,-26666000.0
