,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Repayment Of Debt,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,0.312234,0.312234,,,,,,,,,,,,,,,
2025-06-30,27189584.83287,27189584.83287,15981116.299224,6549396.180894,5351450.002934,5672329.37858,4348351.466482,4348351.466482,,,103621707.421211,86914959.253406,19708094.397567,14874004.72286,7321311.702794,18322349.145771,84064646.542831,72040954.530547,70379585.819494,-1426085.306045,1343886.794927,610189.200896,-1409931.662204,-88346.471169,1684630.586527
2025-09-30,32901087.523089,32901087.523089,19917268.73087,9494153.428026,9737941.190038,10081928.563689,8284397.007759,8284397.007759,,,112501139.283602,95042872.041142,20061630.53022,15328937.050908,7054997.40176,15474558.388733,92557635.153296,79713934.990234,78739901.356461,-611424.431777,-3018457.860064,-257669.807868,-978692.827049,-2768472.237082,2458344.743931
2025-12-31,62587822.436138,62587822.436138,36277331.801512,10809248.794606,7605681.762582,7977279.427021,6704676.616055,6704676.616055,,,132733599.394563,112958198.454102,26116954.939217,20981472.731406,8898854.025079,13406852.93625,106641601.177371,91976725.722696,85462511.953192,-1138101.518997,1400948.393886,-2578043.534304,-1302253.981755,-159401.822226,1974379.37958
2026-03-31,33320000.0,33320000.0,20363000.0,8692000.0,8640000.0,9018000.0,7460000.0,7460000.0,0.411296,0.411296,139925000.0,118664000.0,25150000.0,20008000.0,8805000.0,19557000.0,114738000.0,98656000.0,93277000.0,-1904000.0,-338000.0,6376000.0,-1889000.0,-2399000.0,2320000.0
2026-06-30,34944000.0,34944000.0,21410000.0,9071000.0,9185000.0,9663000.0,7887000.0,7887000.0,,,147925000.0,125681000.0,27564000.0,22324000.0,8316000.0,31699000.0,120281000.0,103357000.0,98801000.0,-1322000.0,-661000.0,12317000.0,-1720000.0,-2139000.0,1814000.0
