,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Repayment Of Debt,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,,,335122000.0,,,,,,,,,,
2025-03-31,243587000.0,243587000.0,75358000.0,16904000.0,19619000.0,38939000.0,9274000.0,9274000.0,0.16,0.16,1684344000.0,558089000.0,712677000.0,366809000.0,433433000.0,,50177000.0,965238000.0,191280000.0,45120000.0,-26001000.0,-51916000.0,18860000.0,-26260000.0,-64932000.0,24157000.0
2025-06-30,254804000.0,254804000.0,80207000.0,22730000.0,28551000.0,48406000.0,14951000.0,14951000.0,0.26,0.26,1656677000.0,537056000.0,691449000.0,330819000.0,444807000.0,,41274000.0,957972000.0,206237000.0,19003000.0,-11995000.0,-13138000.0,6548000.0,-12455000.0,-17608000.0,30478000.0
2025-09-30,254811000.0,254811000.0,84693000.0,33309000.0,33574000.0,53259000.0,21286000.0,21286000.0,0.37,0.37,1660314000.0,542365000.0,679418000.0,347984000.0,419609000.0,,51044000.0,974941000.0,194381000.0,52836000.0,-15419000.0,-27105000.0,35790000.0,-17046000.0,-12607000.0,-14772000.0
2025-12-31,292771000.0,292771000.0,96009000.0,38522000.0,20788000.0,39120000.0,26492000.0,26492000.0,,,1676540000.0,553920000.0,666981000.0,346217000.0,401204000.0,254146000.0,81716000.0,1002922000.0,207703000.0,79079000.0,-16204000.0,-31752000.0,59971000.0,-19108000.0,-2608000.0,
2026-03-31,241214000.0,241214000.0,85417000.0,25931000.0,28425000.0,46873000.0,16744000.0,16744000.0,0.29,0.29,1706036000.0,586150000.0,675263000.0,256084000.0,394245000.0,,79321000.0,1024307000.0,330066000.0,22729000.0,-13036000.0,-13321000.0,9709000.0,-13020000.0,-104514000.0,100660000.0
