,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,,,12484000000.0,7520000000.0,9047000000.0,6049000000.0,2429000000.0,421000000.0,1747000000.0,3363000000.0,1471000000.0,2936000000.0
2025-06-30,,,11781000000.0,6790000000.0,7872000000.0,4874000000.0,2026000000.0,482000000.0,1273000000.0,3843000000.0,,3321000000.0
2025-12-31,4.9,4.9,12721000000.0,7582000000.0,8346000000.0,5255000000.0,1995000000.0,413000000.0,1256000000.0,4314000000.0,2327000000.0,3834000000.0
2026-03-31,4.03,4.03,,,,,,,,,,
