,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow
2024-12-31,,,,,,,,,0.77,0.77,,,,,4603000.0,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,,422000.0,,,56361000.0,,,,
2025-06-30,19786000.0,19786000.0,7738000.0,-8481000.0,-8481000.0,-6806000.0,-8326000.0,-8326000.0,,,146371000.0,94036000.0,26893000.0,21180000.0,,,32794000.0,119478000.0,72856000.0,,-1526000.0,1845000.0,-612000.0,877000.0
2025-09-30,33506000.0,33506000.0,16157000.0,7176000.0,-4464000.0,-4464000.0,-5119000.0,-5119000.0,,,140841000.0,91585000.0,26046000.0,20963000.0,5610000.0,3858000.0,203000.0,114795000.0,70622000.0,52108000.0,-3139000.0,3872000.0,-600000.0,-10042000.0
2025-12-31,22866000.0,22866000.0,12991000.0,29147000.0,29147000.0,29147000.0,27618000.0,27618000.0,2.67,2.67,159960000.0,112248000.0,42025000.0,37140000.0,,,290000.0,117935000.0,75108000.0,,5520000.0,-5487000.0,602000.0,5520000.0
2026-03-31,17241000.0,17241000.0,6331000.0,-8987000.0,-9530000.0,-9530000.0,-8185000.0,-8185000.0,,,161610000.0,115075000.0,39541000.0,30236000.0,2845000.0,2474000.0,371000.0,122069000.0,84839000.0,47990000.0,4200000.0,35220000.0,-39484000.0,3645000.0
2026-06-30,19259000.0,19259000.0,9055000.0,-2435000.0,-3473000.0,-3473000.0,-3579000.0,-3579000.0,,,149187000.0,103651000.0,27117000.0,17577000.0,2439000.0,2439000.0,,122070000.0,86074000.0,,1624000.0,-32116000.0,29246000.0,2179000.0
