,Total Revenue,Operating Revenue,EBIT,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Total Liabilities Net Minority Interest,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Retained Earnings
2024-12-31,,,3722000000.0,,,6.41,6.4,,,34839000000.0,610000000.0,,,
2025-03-31,26925000000.0,26925000000.0,3745000000.0,2423000000.0,2423000000.0,6.28,6.27,1026857000000.0,960652000000.0,,,32620000000.0,62386000000.0,35911000000.0
2025-06-30,33090000000.0,33090000000.0,,2841000000.0,2702000000.0,,,992884000000.0,932372000000.0,36881000000.0,613000000.0,33886000000.0,57195000000.0,32794000000.0
2025-09-30,39782000000.0,39782000000.0,4188000000.0,2847000000.0,2822000000.0,7.4,7.4,1012773000000.0,949070000000.0,,,32079000000.0,60208000000.0,33602000000.0
2025-12-31,37858000000.0,37858000000.0,3984000000.0,2664000000.0,2655000000.0,6.98,6.98,1024276000000.0,957927000000.0,35275000000.0,2967000000.0,29855000000.0,62722000000.0,36275000000.0
2026-03-31,31065000000.0,31065000000.0,5305000000.0,3690000000.0,3690000000.0,9.71,9.56,1027101000000.0,957577000000.0,,,27518000000.0,65900000000.0,39593000000.0
