,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2025-03-31,73682000.0,34809000.0,61629000.0,52098000.0,,,,12053000.0,-17289000.0,
2025-09-30,73012000.0,36512000.0,57441000.0,8367000.0,44648000.0,37989000.0,6659000.0,15571000.0,28145000.0,864000.0
