,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,588684021.0,393770739.0,332034123.0,229892266.0,70200817.0,256649898.0,163878473.0,170992703.0
2025-06-30,574283064.0,,315432177.0,315432177.0,83707790.0,258850887.0,,
2025-12-31,539089563.0,358573560.0,283064827.0,159706594.0,71473619.0,256024736.0,198866966.0,174394496.0
