,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow
2024-12-31,490500000.0,490500000.0,252100000.0,28000000.0,27000000.0,27000000.0,15700000.0,15700000.0,0.18,0.18,,,,,,,,,,-26300000.0,-17600000.0,50100000.0,-26300000.0
2025-03-31,560016000.0,560016000.0,301733000.0,71180000.0,72386000.0,72386000.0,45331000.0,45331000.0,0.52,0.52,3474458000.0,1284481000.0,1384479000.0,628488000.0,146874000.0,26550000.0,2075895000.0,655993000.0,1494926000.0,34808000.0,2112000.0,-36236000.0,-5790000.0
2025-06-30,549631000.0,549631000.0,289697000.0,53061000.0,47656000.0,47656000.0,28375000.0,28375000.0,,,,,,,,,,,,57192000.0,23388000.0,-71864000.0,97790000.0
2025-09-30,627545000.0,627545000.0,331697000.0,71120000.0,73516000.0,73516000.0,51810000.0,51810000.0,,,3403371000.0,1271946000.0,1275672000.0,543811000.0,132456000.0,27267000.0,2116506000.0,728135000.0,1575111000.0,144158000.0,-98927000.0,-50827000.0,67565000.0
2025-12-31,467000000.0,467000000.0,227100000.0,1000000.0,2000000.0,2000000.0,-4900000.0,-4900000.0,-0.06,-0.06,,,,,,,,,,16700000.0,700000.0,-16900000.0,16700000.0
