,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Repayment Of Debt
2024-12-31,,,,,,,,,,,,,,,20244000.0,2959000.0,,,,,,,,,-4000000.0
2025-03-31,27545000.0,27545000.0,19720000.0,4445000.0,4447000.0,5823000.0,3040000.0,3040000.0,0.32,0.32,97716000.0,48713000.0,31356000.0,10713000.0,1560000.0,,10335000.0,65961000.0,38000000.0,26110000.0,304000.0,-547000.0,-664000.0,304000.0,
2025-06-30,25827000.0,25827000.0,18932000.0,2945000.0,3375000.0,4741000.0,1870000.0,1870000.0,0.19,0.19,95260000.0,46814000.0,30322000.0,9622000.0,,,10312000.0,64581000.0,37192000.0,25377000.0,4809000.0,-731000.0,-3285000.0,3531000.0,
2025-09-30,26461000.0,26461000.0,19418000.0,4112000.0,4148000.0,5498000.0,2833000.0,2833000.0,0.3,0.3,98411000.0,50335000.0,30408000.0,10497000.0,,,13816000.0,67639000.0,39838000.0,28248000.0,5632000.0,-844000.0,-1500000.0,6910000.0,-1000000.0
2025-12-31,22745000.0,22745000.0,16705000.0,2427000.0,1734000.0,3193000.0,970000.0,970000.0,,,94175000.0,45086000.0,25160000.0,9838000.0,15118000.0,,12393000.0,68649000.0,35248000.0,29219000.0,4005000.0,-2070000.0,-3378000.0,4005000.0,-3000000.0
2026-03-31,27379000.0,27379000.0,20208000.0,4484000.0,4491000.0,5967000.0,3150000.0,3150000.0,0.33,0.33,98929000.0,49566000.0,26445000.0,11110000.0,,,11844000.0,72103000.0,38456000.0,32392000.0,1487000.0,-1724000.0,-599000.0,1487000.0,
