,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,161159.47,159714.47,14226.33,2401.6,155948.64,146933.14,157312.87,-103066.86
2025-06-30,132514.27,131525.27,10073.64,0.0,126574.65,122440.63,131525.27,-152559.37
2025-12-31,1741332.61,214799.61,152705.46,132969.17,179948.77,1588627.15,81830.44,-191372.85
