,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital
2024-12-31,5287800000.0,5287800000.0,659600000.0,-573200000.0,-777800000.0,-262000000.0,-673900000.0,-673900000.0,10852500000.0,5403600000.0,10817200000.0,7773000000.0,5711700000.0,4350200000.0,354600000.0,-263900000.0,-2369400000.0
2025-06-30,,,,,,,,,9119500000.0,4174000000.0,9755700000.0,3877200000.0,5437900000.0,4137700000.0,348700000.0,-606400000.0,296800000.0
