,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,,,,,,,,,,,,,,,,,,,,12319257.0
2025-03-31,,,,,,,,,0.19,0.19,,,,,,,,,,
2025-06-30,7805602.0,7805602.0,7686255.0,2679869.0,2679869.0,4523250.0,941829.0,941829.0,,,243207218.0,7105466.0,197630284.0,1024039.0,191220363.0,189705764.0,1514599.0,45146365.0,6081427.0,
2025-09-30,7768026.0,7768026.0,8046769.0,4261541.0,4261541.0,6120281.0,2142899.0,2142899.0,,,256199054.0,6745642.0,210359222.0,1670063.0,200039896.0,199805280.0,234616.0,45409263.0,5075579.0,
2025-12-31,4225712.0,4225712.0,-3158806.0,4056079.0,4101719.0,6218648.0,1602203.0,1602203.0,,,257333120.0,5296227.0,209886913.0,22686677.0,199707000.0,198711072.0,995928.0,47011467.0,-17390450.0,15018856.0
2026-03-31,7686594.0,7686594.0,7714380.0,2922922.0,2922922.0,4884943.0,925036.0,925036.0,0.19,0.19,261649680.0,6668547.0,213278437.0,1207155.0,206969721.0,205812241.0,1157480.0,47936503.0,5461392.0,
2026-06-30,8158945.0,8158945.0,8208973.0,2244474.0,2244474.0,4306157.0,261601.0,261601.0,,,262102746.0,7370439.0,213469902.0,910233.0,204959873.0,203974204.0,985669.0,48198104.0,6460206.0,
