,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,,,,,,,,,,,,,,,,,,,,
2025-03-31,157600000.0,157600000.0,145200000.0,77900000.0,77900000.0,89900000.0,50000000.0,50000000.0,0.69,0.69,,,,,,,,,,
2025-06-30,160595000.0,160595000.0,159704000.0,61749000.0,63024000.0,75144000.0,39024000.0,39024000.0,0.54,0.54,2062795000.0,102195000.0,737376000.0,403094000.0,188972000.0,107232000.0,32482000.0,1325419000.0,-300899000.0,1232298000.0
2025-12-31,229961000.0,229961000.0,251851000.0,90010000.0,82799000.0,97419000.0,116143000.0,116143000.0,0.69,0.69,2058823000.0,114924000.0,581345000.0,305317000.0,149441000.0,60695000.0,49497000.0,1477478000.0,-190393000.0,1469408000.0
2026-03-31,179600000.0,179600000.0,165100000.0,102400000.0,102400000.0,116000000.0,68500000.0,68500000.0,0.97,0.97,2220900000.0,109500000.0,775200000.0,495700000.0,41700000.0,,23500000.0,1445700000.0,-386200000.0,
2026-06-30,192688000.0,192688000.0,190984000.0,86469000.0,94219000.0,108745000.0,63166000.0,63166000.0,0.9,0.9,2231208000.0,114637000.0,1078650000.0,498844000.0,436093000.0,365171000.0,33276000.0,1152558000.0,-384207000.0,1156803000.0
