,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,34213329.33,24673119.33,10692249.42,3518112.68,1633092.22,6363058.44,23521079.91,21155006.65,2278915.34
2025-06-30,37455189.87,26837566.46,11692874.96,3535021.05,2904000.0,7714541.46,25762314.91,23302545.41,4423121.99
2025-12-31,46498885.87,33484980.68,16126973.09,8143044.89,4402000.0,12962898.65,30371912.78,25341935.79,9128564.97
