,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,19200124.9,17293183.24,14631722.16,9446662.82,,14952614.07,4568402.74,7846520.42,-70844907.22
2025-06-30,26033785.69,24398588.37,19986941.42,15280765.8,,22158449.37,6046844.27,9117822.57,-69470128.48
2025-12-31,22670324.83,21618919.15,14967055.26,10487571.85,,18708094.55,7703269.57,11131347.3,-67850222.21
2026-06-30,25611373.84,25022241.19,16755332.85,13321981.15,0.0,21612542.23,8856040.99,11700260.04,-66645072.79
