,Total Revenue,Operating Revenue,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Total Liabilities Net Minority Interest,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Retained Earnings
2024-12-31,,,,,,,,,,,,,
2025-03-31,118000000.0,118000000.0,24000000.0,18000000.0,0.13,0.13,42301000000.0,38854000000.0,17816000000.0,16892000000.0,924000000.0,3447000000.0,1251000000.0
2025-06-30,99000000.0,99000000.0,-266000000.0,-273000000.0,,,42356000000.0,39214000000.0,19262000000.0,17113000000.0,2130000000.0,3142000000.0,940000000.0
2025-09-30,89000000.0,89000000.0,15000000.0,9000000.0,,,42573000000.0,39416000000.0,19274000000.0,15405000000.0,3869000000.0,3157000000.0,955000000.0
2025-12-31,112000000.0,112000000.0,-57000000.0,-63000000.0,,,39881000000.0,36777000000.0,18396000000.0,16821000000.0,1558000000.0,3104000000.0,898000000.0
2026-03-31,77000000.0,77000000.0,5000000.0,-1000000.0,-0.01,-0.01,39661000000.0,36557000000.0,17645000000.0,15767000000.0,1878000000.0,3102000000.0,903000000.0
