,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Repayment Of Debt,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,226871000.0,226871000.0,93744000.0,63419000.0,72077000.0,75400000.0,38054000.0,38054000.0,0.22,0.21,8210829000.0,1815191000.0,5056732000.0,1659381000.0,4067822000.0,3073550000.0,994272000.0,3093560000.0,155810000.0,2126631000.0,86118000.0,-56919000.0,361830000.0,83624000.0,-2494000.0,-120291000.0,499630000.0
2025-06-30,206701000.0,206701000.0,101338000.0,69948000.0,157418000.0,160932000.0,110710000.0,110710000.0,0.64,0.64,8255950000.0,1739391000.0,5061707000.0,1737304000.0,4007248000.0,3137759000.0,869489000.0,3132725000.0,2087000.0,2167179000.0,12959000.0,-37980000.0,-98745000.0,9018000.0,-3941000.0,-283526000.0,243009000.0
2025-09-30,209061000.0,209061000.0,103298000.0,75317000.0,102838000.0,106284000.0,152419000.0,152419000.0,,,8877903000.0,2307157000.0,5361767000.0,1828253000.0,4350128000.0,2998786000.0,1351342000.0,3449543000.0,478904000.0,2319597000.0,-956000.0,-53468000.0,537061000.0,-6077000.0,-5121000.0,-149966000.0,505103000.0
2025-12-31,324918000.0,324918000.0,128143000.0,84150000.0,197598000.0,201297000.0,-207803000.0,-207803000.0,,,8951243000.0,2248514000.0,5629198000.0,1721543000.0,4333064000.0,3085841000.0,1197900000.0,3262153000.0,526971000.0,2111794000.0,132976000.0,-210915000.0,-77213000.0,126864000.0,-6112000.0,-245565000.0,162025000.0
2026-03-31,228448000.0,228448000.0,118364000.0,83913000.0,72174000.0,75776000.0,33817000.0,33817000.0,0.18,0.17,8934293000.0,2182962000.0,5598717000.0,1685617000.0,4223904000.0,3104312000.0,1119592000.0,3274615000.0,497345000.0,2145612000.0,32916000.0,-62979000.0,-47384000.0,29467000.0,-3449000.0,-149210000.0,103886000.0
