,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Repayment Of Debt
2024-12-31,,,,,,,,,,,,,,,,,,,1518995000.0,,,,,,
2025-03-31,,,,,,,,,2.4,2.4,,,,,,,,,,,,,,,-300000.0
2025-06-30,1316500000.0,1316500000.0,720600000.0,94300000.0,94300000.0,139200000.0,69700000.0,69700000.0,2.21,2.21,4757900000.0,3235300000.0,2790000000.0,2344900000.0,1900000.0,377100000.0,1967700000.0,890400000.0,1581500000.0,-99000000.0,-19500000.0,-91900000.0,-125500000.0,-26500000.0,
2025-09-30,1380900000.0,1380900000.0,731400000.0,96600000.0,96600000.0,142200000.0,67900000.0,67900000.0,2.15,2.15,4821600000.0,3253000000.0,2793100000.0,2344100000.0,1600000.0,362800000.0,2028300000.0,908900000.0,,71300000.0,-70700000.0,-15000000.0,25500000.0,-45800000.0,
2025-12-31,1556369000.0,1556369000.0,761879000.0,82644000.0,137711000.0,189187000.0,85388000.0,85388000.0,,,5042124000.0,3405132000.0,2913429000.0,2460399000.0,148844000.0,549488000.0,2128386000.0,944733000.0,1734871000.0,272229000.0,-69605000.0,-9513000.0,200803000.0,-71426000.0,
2026-03-31,1379100000.0,1379100000.0,788400000.0,99000000.0,99000000.0,148900000.0,68500000.0,68500000.0,2.17,2.17,5080700000.0,3447500000.0,2875800000.0,2427500000.0,1000000.0,524100000.0,2204591000.0,1020000000.0,,40200000.0,-57600000.0,-13200000.0,-14000000.0,-54200000.0,-1700000.0
2026-06-30,1335800000.0,1335800000.0,730700000.0,95200000.0,95200000.0,143900000.0,70500000.0,70500000.0,2.23,2.23,5026900000.0,3377900000.0,2834800000.0,2382400000.0,900000.0,405400000.0,2191700000.0,995500000.0,1783600000.0,18700000.0,-40000000.0,-100600000.0,-25200000.0,-43900000.0,
