,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Issuance Of Debt
2024-12-31,3599000000.0,3599000000.0,664000000.0,-17000000.0,-67000000.0,301000000.0,-152000000.0,-152000000.0,,,19750000000.0,5508000000.0,10650000000.0,4059000000.0,3781000000.0,2402000000.0,461000000.0,9020000000.0,1449000000.0,7426000000.0,438000000.0,-206000000.0,-230000000.0,172000000.0,-266000000.0,
2025-03-31,3777000000.0,3777000000.0,1008000000.0,297000000.0,321000000.0,561000000.0,233000000.0,233000000.0,0.5,0.5,20242000000.0,6368000000.0,10975000000.0,4175000000.0,,,733000000.0,9185000000.0,2193000000.0,7843000000.0,385000000.0,-511000000.0,402000000.0,195000000.0,-190000000.0,521000000.0
2025-06-30,3499000000.0,3499000000.0,931000000.0,234000000.0,248000000.0,508000000.0,120000000.0,120000000.0,0.26,0.26,19054000000.0,5600000000.0,10495000000.0,3873000000.0,,,379000000.0,8494000000.0,1727000000.0,7499000000.0,-35000000.0,36000000.0,-343000000.0,-211000000.0,-176000000.0,
2025-12-31,3403000000.0,3403000000.0,689000000.0,136000000.0,92000000.0,367000000.0,18000000.0,18000000.0,,,17981000000.0,4967000000.0,9807000000.0,3328000000.0,3871000000.0,2511000000.0,495000000.0,8110000000.0,1639000000.0,7173000000.0,612000000.0,-169000000.0,-400000000.0,411000000.0,-201000000.0,
2026-03-31,3427000000.0,3427000000.0,864000000.0,228000000.0,234000000.0,473000000.0,125000000.0,125000000.0,0.27,0.27,18457000000.0,5431000000.0,10159000000.0,3599000000.0,,,589000000.0,8230000000.0,1832000000.0,7212000000.0,407000000.0,-203000000.0,-112000000.0,183000000.0,-224000000.0,
