,Total Assets,Total Liabilities Net Minority Interest,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Retained Earnings
2024-12-31,4824709059.04,4635321728.34,59811263.47,,66682596.49,188622133.67,94037118.27
2025-06-30,4308804000.0,4085292000.0,,,,,
2025-12-31,3234676412.34,3001806797.09,66687038.8,37138882.24,29548156.56,232260293.59,138436361.85
