,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure
2024-12-31,21377000000.0,21377000000.0,1650000000.0,408000000.0,320000000.0,1086000000.0,-503000000.0,-503000000.0,,,38489000000.0,24744000000.0,27945000000.0,17221000000.0,6732000000.0,10382000000.0,7523000000.0,1765000000.0,-886000000.0,116000000.0,118000000.0,-1204000000.0,-318000000.0
2025-03-31,21261000000.0,21261000000.0,944000000.0,252000000.0,370000000.0,510000000.0,85000000.0,85000000.0,0.2,0.2,33250000000.0,20244000000.0,22552000000.0,12580000000.0,4870000000.0,10549000000.0,7664000000.0,1869000000.0,-1092000000.0,234000000.0,174000000.0,-1237000000.0,-145000000.0
2025-06-30,11801000000.0,11801000000.0,740000000.0,85000000.0,136000000.0,310000000.0,177000000.0,177000000.0,0.42,0.42,30953000000.0,17843000000.0,20156000000.0,10047000000.0,4658000000.0,10635000000.0,7796000000.0,2061000000.0,718000000.0,-536000000.0,-399000000.0,547000000.0,-171000000.0
2025-12-31,16125000000.0,16125000000.0,776000000.0,8153000000.0,692000000.0,963000000.0,837000000.0,837000000.0,,,31604000000.0,18027000000.0,19545000000.0,9818000000.0,5516000000.0,11887000000.0,8209000000.0,3333000000.0,-533000000.0,216000000.0,-85000000.0,-800000000.0,-267000000.0
2026-03-31,17342000000.0,17342000000.0,709000000.0,394000000.0,436000000.0,594000000.0,335000000.0,335000000.0,0.8,0.8,41001000000.0,26184000000.0,28608000000.0,17595000000.0,5690000000.0,12226000000.0,8589000000.0,3673000000.0,1588000000.0,-775000000.0,95000000.0,1464000000.0,-124000000.0
