,Total Revenue,Operating Revenue,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,,,,,,,7128360000.0,3073923000.0,4692058000.0,2150206000.0,696129000.0,524856000.0,2436302000.0,923717000.0,2364988000.0
2025-03-31,1305000000.0,1305000000.0,68900000.0,68900000.0,0.67549,0.67549,,,,,,,,,
2025-06-30,1351500000.0,1351500000.0,70100000.0,70100000.0,,,7195100000.0,3135200000.0,4720900000.0,2188600000.0,,436100000.0,2474200000.0,946600000.0,
