,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,11508000000.0,11508000000.0,2476000000.0,1016000000.0,1111000000.0,1405000000.0,770000000.0,770000000.0,0.99,0.99,75309000000.0,40525000000.0,52316000000.0,23257000000.0,28799000000.0,20402000000.0,7420000000.0,22402000000.0,17268000000.0,10147000000.0,786000000.0,-1426000000.0,1669000000.0,499000000.0,-287000000.0
2025-06-30,11674000000.0,11674000000.0,2131000000.0,452000000.0,485000000.0,760000000.0,277000000.0,277000000.0,0.36,0.36,71429000000.0,40028000000.0,50343000000.0,21734000000.0,26845000000.0,19565000000.0,6784000000.0,20492000000.0,18294000000.0,9060000000.0,477000000.0,1148000000.0,-1779000000.0,210000000.0,-267000000.0
2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,11797000000.0,11797000000.0,2181000000.0,693000000.0,880000000.0,1139000000.0,489000000.0,489000000.0,,,72530000000.0,40646000000.0,50461000000.0,22133000000.0,27652000000.0,18556000000.0,8550000000.0,21552000000.0,18513000000.0,9244000000.0,1798000000.0,-845000000.0,-64000000.0,1234000000.0,-564000000.0
2026-03-31,9982000000.0,9982000000.0,1769000000.0,528000000.0,386000000.0,639000000.0,175000000.0,175000000.0,0.23,0.23,74651000000.0,42878000000.0,52203000000.0,23758000000.0,28522000000.0,19240000000.0,8711000000.0,21905000000.0,19120000000.0,9346000000.0,260000000.0,-436000000.0,396000000.0,63000000.0,-197000000.0
2026-06-30,12292000000.0,12292000000.0,2191000000.0,646000000.0,467000000.0,724000000.0,1457000000.0,1457000000.0,1.91,1.91,72632000000.0,39304000000.0,49693000000.0,23116000000.0,27954000000.0,19126000000.0,8245000000.0,22571000000.0,16188000000.0,9583000000.0,461000000.0,1385000000.0,-2615000000.0,171000000.0,-290000000.0
