,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure
2024-12-31,15857000000.0,15857000000.0,4118000000.0,1002000000.0,-311000000.0,1298000000.0,-786000000.0,-786000000.0,,,80415000000.0,31232000000.0,43532000000.0,17039000000.0,23995000000.0,19418000000.0,2914000000.0,35599000000.0,14193000000.0,30883000000.0,3457000000.0,-1783000000.0,-1340000000.0,1166000000.0,-2291000000.0
2025-03-31,16509000000.0,16509000000.0,4424000000.0,1456000000.0,1229000000.0,2210000000.0,808000000.0,808000000.0,0.91,0.91,81419000000.0,33191000000.0,44068000000.0,18107000000.0,22767000000.0,20453000000.0,2314000000.0,36085000000.0,15084000000.0,31688000000.0,-982000000.0,-674000000.0,1090000000.0,-1798000000.0,-816000000.0
2025-06-30,15769000000.0,15769000000.0,4179000000.0,512000000.0,538000000.0,1520000000.0,79000000.0,79000000.0,0.09,0.09,77668000000.0,31899000000.0,44164000000.0,18181000000.0,23854000000.0,21337000000.0,2517000000.0,32357000000.0,13718000000.0,29746000000.0,1585000000.0,-1112000000.0,-223000000.0,532000000.0,-1053000000.0
2025-12-31,14031000000.0,14031000000.0,3106000000.0,800000000.0,1398000000.0,2573000000.0,560000000.0,560000000.0,,,76174000000.0,31684000000.0,41837000000.0,16411000000.0,23209000000.0,18985000000.0,2670000000.0,33194000000.0,15273000000.0,29931000000.0,3636000000.0,-655000000.0,-2182000000.0,2211000000.0,-1425000000.0
2026-03-31,16020000000.0,16020000000.0,4153000000.0,1230000000.0,1310000000.0,2235000000.0,927000000.0,927000000.0,1.06,1.06,81766000000.0,37602000000.0,46293000000.0,19653000000.0,23669000000.0,20580000000.0,3089000000.0,34283000000.0,17949000000.0,30366000000.0,-797000000.0,-375000000.0,1568000000.0,-1375000000.0,-578000000.0
