,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,3945999.0,2250595.75,2158799.28,1137481.43,0.0,296624.4,1748439.55,1113114.32,-13516817.54
2025-06-30,,,,,,,,,
2025-12-31,4662011.29,2794739.28,3063443.33,1138169.82,52535.98,704933.5,1533455.3,1656569.46,-14681801.79
