,Total Revenue,Operating Revenue,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Total Liabilities Net Minority Interest,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Retained Earnings
2024-12-31,,,,,,,,,,,,
2025-03-31,106988000.0,106988000.0,25207000.0,25207000.0,0.43,0.43,10692904000.0,9620104000.0,348932000.0,1946048000.0,1072800000.0,718778000.0
2025-06-30,118076000.0,118076000.0,21816000.0,21816000.0,,,10713831000.0,9675910000.0,444090000.0,1911864000.0,1037921000.0,705843000.0
2025-09-30,107090000.0,107090000.0,11173000.0,11173000.0,,,11065383000.0,10013455000.0,476984000.0,1952699000.0,1051928000.0,717003000.0
2025-12-31,127992000.0,127992000.0,25258000.0,25258000.0,,,11595373000.0,10521308000.0,506108000.0,2165829000.0,1074065000.0,742262000.0
2026-03-31,113856000.0,113856000.0,21665000.0,21665000.0,0.37,0.37,11594757000.0,10502621000.0,472697000.0,1950383000.0,1092136000.0,763930000.0
