,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure
2024-12-31,,,,,,,,,,,445058000.0,223502000.0,202525000.0,90346000.0,130534000.0,67793000.0,47164000.0,242533000.0,133156000.0,,,,
2025-03-31,60363000.0,60363000.0,16038000.0,3300000.0,3074000.0,7940000.0,1446000.0,1446000.0,0.12,0.12,,,,,,,,,,-5176000.0,-22408000.0,-8329000.0,-5176000.0
2025-06-30,58227000.0,58227000.0,15917000.0,2437000.0,2304000.0,6638000.0,1156000.0,1156000.0,,,,202074000.0,185710000.0,,,,,236698000.0,135188000.0,-3784000.0,9995000.0,-6402000.0,-3784000.0
2025-09-30,56998000.0,56998000.0,13302000.0,3715000.0,3435000.0,7955000.0,1501000.0,1501000.0,0.13,0.13,431236000.0,207986000.0,191158000.0,49583000.0,,,22396000.0,240078000.0,158403000.0,-4415000.0,3442000.0,501000.0,-3835000.0
2025-12-31,75276000.0,75276000.0,18963000.0,1233000.0,230000.0,11251000.0,-4345000.0,-4345000.0,,,425986000.0,213401000.0,188666000.0,53741000.0,132131000.0,96625000.0,23056000.0,237320000.0,159660000.0,-3429000.0,2669000.0,-2433000.0,-3435000.0
2026-03-31,53426000.0,53426000.0,10201000.0,-1000.0,-135000.0,4421000.0,-1713000.0,-1713000.0,-0.14,-0.14,408979000.0,196958000.0,172185000.0,45462000.0,,,23740000.0,236794000.0,151496000.0,-2896000.0,-18071000.0,18598000.0,-2895000.0
