,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,5400400000.0,4748300000.0,4645700000.0,4542900000.0,160000000.0,3312900000.0,754600000.0,205400000.0,439800000.0
2025-06-30,6332005000.0,5438811000.0,5517597000.0,5418787000.0,145304000.0,3957765000.0,814409000.0,20024000.0,519725000.0
2025-12-31,7438200000.0,6128700000.0,6544400000.0,6438400000.0,123800000.0,4418200000.0,893800000.0,-309700000.0,596100000.0
