,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Repayment Of Debt
2024-12-31,,,,,,,,,5.87,5.87,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,579000000.0,,,,,4583000000.0,,,,,,
2025-06-30,4616000000.0,4616000000.0,432000000.0,113000000.0,108000000.0,166000000.0,78240000.0,78240000.0,,,8459000000.0,5022000000.0,3472000000.0,2114000000.0,,,118000000.0,4986000000.0,2908000000.0,,167000000.0,-226000000.0,-194000000.0,-54000000.0,-221000000.0,-129000000.0
2025-09-30,4283000000.0,4283000000.0,242000000.0,24000000.0,73000000.0,135000000.0,42000000.0,42000000.0,,,8838000000.0,5242000000.0,3824000000.0,2372000000.0,541000000.0,177000000.0,319000000.0,5013000000.0,2870000000.0,4633000000.0,320000000.0,-201000000.0,83000000.0,118000000.0,-202000000.0,-23000000.0
2025-12-31,5344000000.0,5344000000.0,750000000.0,425000000.0,434000000.0,497000000.0,322000000.0,322000000.0,7.36,7.36,9817000000.0,6191000000.0,4487000000.0,2937000000.0,,,211000000.0,5329000000.0,3254000000.0,4955000000.0,-8000000.0,-91000000.0,-10000000.0,-115000000.0,-107000000.0,-24000000.0
2026-03-31,6081000000.0,6081000000.0,961000000.0,632000000.0,647000000.0,717000000.0,479000000.0,479000000.0,,,10631000000.0,6905000000.0,4863000000.0,3221000000.0,524000000.0,,167000000.0,5766000000.0,3684000000.0,5373000000.0,169000000.0,-124000000.0,-90000000.0,46000000.0,-123000000.0,-27000000.0
2026-06-30,6482000000.0,6482000000.0,558000000.0,198000000.0,211000000.0,284000000.0,153000000.0,153000000.0,,,10878000000.0,7081000000.0,4964000000.0,3293000000.0,,,53000000.0,5912000000.0,3788000000.0,5527000000.0,-189000000.0,-107000000.0,180000000.0,-302000000.0,-113000000.0,-44000000.0
