,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,558496000.0,271098000.0,212104000.0,166169000.0,20362000.0,86669000.0,346392000.0,104929000.0,-294258000.0
2025-06-30,507889000.0,222383000.0,169978000.0,132212000.0,13862000.0,39074000.0,337911000.0,90171000.0,-295367000.0
