,Total Revenue,Operating Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Repayment Of Debt,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,,,912000000.0,,,,,,,,,,,
2025-03-31,,,,,,,,,1.91,1.91,,,,,,,,,,,,,,,,,
2025-06-30,1949000000.0,1949000000.0,1086000000.0,218000000.0,220000000.0,350000000.0,130000000.0,130000000.0,2.88,2.82,14593000000.0,8375000000.0,9679000000.0,7295000000.0,2009000000.0,,352000000.0,4455000000.0,1080000000.0,2979000000.0,-712000000.0,-200000000.0,196000000.0,-911000000.0,-199000000.0,-50000000.0,629000000.0
2025-09-30,2780000000.0,2780000000.0,1411000000.0,324000000.0,317000000.0,434000000.0,152000000.0,152000000.0,3.34,3.31,15658000000.0,9276000000.0,10506000000.0,8172000000.0,2430000000.0,,557000000.0,4672000000.0,1104000000.0,3161000000.0,77000000.0,-280000000.0,406000000.0,-169000000.0,-246000000.0,182000000.0,256000000.0
2025-12-31,2420000000.0,2420000000.0,1256000000.0,968000000.0,951000000.0,1097000000.0,328000000.0,328000000.0,,,16772000000.0,10901000000.0,11157000000.0,9071000000.0,1282000000.0,,1650000000.0,5011000000.0,1830000000.0,3503000000.0,2502000000.0,-218000000.0,-1092000000.0,2228000000.0,-274000000.0,-223000000.0,-904000000.0
2026-03-31,1938000000.0,1938000000.0,1196000000.0,176000000.0,188000000.0,311000000.0,111000000.0,111000000.0,2.42,2.42,19606000000.0,11874000000.0,13591000000.0,11363000000.0,2157000000.0,,1329000000.0,5335000000.0,511000000.0,3644000000.0,-155000000.0,-1138000000.0,959000000.0,-305000000.0,-150000000.0,-45000000.0,990000000.0
2026-06-30,3289000000.0,3289000000.0,1660000000.0,475000000.0,485000000.0,639000000.0,124000000.0,124000000.0,2.66,2.66,20637000000.0,12404000000.0,14869000000.0,12380000000.0,2978000000.0,,255000000.0,4971000000.0,24000000.0,3234000000.0,-1111000000.0,-291000000.0,322000000.0,-1363000000.0,-252000000.0,-247000000.0,1117000000.0
