,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2025-03-31,39044000.0,16603000.0,26046000.0,11950000.0,,,2049000.0,13095000.0,4653000.0,344000.0
2025-09-30,37770000.0,15572000.0,22997000.0,10733000.0,10735000.0,3856000.0,5720000.0,14901000.0,4839000.0,2204000.0
2026-03-31,36468000.0,14621000.0,23194000.0,11699000.0,,,2766000.0,13428000.0,2922000.0,694000.0
