,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,215997000.0,106471000.0,118787000.0,64411000.0,74881000.0,6111000.0,53291000.0,95102000.0,42060000.0,69673000.0
2025-06-30,,,,,62661000.0,,,,44624000.0,
2025-12-31,200840000.0,133785000.0,86255000.0,38642000.0,49252000.0,,93763000.0,110805000.0,95143000.0,85698000.0
