,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,13652086.29,1029352.68,1042880.31,1042880.31,0.0,279540.2,12609205.98,-13527.63,-61150824.8
2025-06-30,12850269.72,1451481.56,980004.84,980004.84,,630365.63,11870264.88,471476.72,-61889765.9
2025-12-31,13132567.72,2636807.56,1351505.92,1351505.92,,200955.02,11781061.8,1285301.64,-62976118.98
