,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,6209130.16,4177813.82,708538.27,647255.27,436952.69,5500591.89,3530558.55,-1952144.48
2025-06-30,5974710.41,3974902.73,511606.21,447092.17,38363.94,5463104.2,3527810.56,-1989632.17
2025-12-31,6061818.61,4084688.27,847578.42,786295.42,334686.76,5214240.19,3298392.85,-2238496.18
2026-06-30,5540403.92,3579749.01,699597.24,655914.24,122358.96,4840806.68,2923834.77,-2611929.69
