,Total Revenue,Operating Revenue,Operating Income,EBIT,EBITDA,Net Income,Net Income Common Stockholders,Basic EPS,Diluted EPS,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,7561000000.0,5874000000.0,,,,,,,,,,0.0
2025-03-31,,,,,,,,-3.529796,-3.529796,,,,,,,,,,,,,,,-198000000.0,
2025-06-30,1508000000.0,1508000000.0,1498000000.0,1529000000.0,1529000000.0,1419000000.0,1419000000.0,,,42351000000.0,2968000000.0,7783000000.0,2313000000.0,7616000000.0,6240000000.0,1375000000.0,34568000000.0,655000000.0,29476000000.0,1001000000.0,-318000000.0,-584000000.0,1199000000.0,,
2025-09-30,1320000000.0,1320000000.0,1313000000.0,963000000.0,963000000.0,902000000.0,902000000.0,,,42846000000.0,2227000000.0,7115000000.0,156000000.0,,,1265000000.0,35731000000.0,2071000000.0,30374000000.0,-205000000.0,613000000.0,-518000000.0,-205000000.0,,
2025-12-31,957000000.0,957000000.0,930000000.0,1477000000.0,1478000000.0,1411000000.0,85000000.0,,,45019000000.0,2287000000.0,7202000000.0,230000000.0,7030000000.0,5991000000.0,1038000000.0,37817000000.0,2057000000.0,31855000000.0,-1000000.0,-216000000.0,-11000000.0,-1000000.0,,
2026-03-31,-861000000.0,-861000000.0,-870000000.0,-861000000.0,-861000000.0,-923000000.0,-923000000.0,-3.013878,-3.013878,44228000000.0,1959000000.0,6969000000.0,128000000.0,,,730000000.0,37259000000.0,1831000000.0,30935000000.0,-88000000.0,-25000000.0,-194000000.0,-275000000.0,-187000000.0,
2026-06-30,-1384000000.0,-1384000000.0,-1398000000.0,-1235000000.0,-1234000000.0,-1295000000.0,-1295000000.0,,,42760000000.0,2415000000.0,7034000000.0,215000000.0,6896000000.0,6308000000.0,587000000.0,35726000000.0,2200000000.0,29175000000.0,723000000.0,-405000000.0,-462000000.0,910000000.0,,
