,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,,,,3418925.53,,,,1309703.8,
2025-12-31,12547321.04,11533796.45,7693460.19,6598833.54,21963.0,2711064.7,4853860.85,4934962.91,-1929790.15
