,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Net Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Free Cash Flow,Capital Expenditure,Repayment Of Debt,Issuance Of Debt
2024-12-31,,,,,,,,,,,,,,,,,
2025-03-31,1731084000.0,887821000.0,1191694000.0,488123000.0,748449000.0,390856000.0,270759000.0,535590000.0,399698000.0,272293000.0,16421000.0,-7962000.0,-36973000.0,7866000.0,-8555000.0,,0.0
2025-06-30,1674912000.0,842846000.0,1210205000.0,547933000.0,801237000.0,464616000.0,226760000.0,464707000.0,294913000.0,236389000.0,14122000.0,-12779000.0,-35655000.0,460000.0,-13662000.0,,80743000.0
2025-09-30,1771468000.0,942158000.0,1294272000.0,443957000.0,890617000.0,437610000.0,343616000.0,477196000.0,498201000.0,250303000.0,48755000.0,-8512000.0,78632000.0,38626000.0,-10129000.0,12421000.0,249257000.0
2025-12-31,1663311000.0,839571000.0,1171357000.0,343117000.0,799783000.0,394153000.0,294499000.0,491954000.0,496454000.0,263309000.0,81025000.0,-17663000.0,-111947000.0,61412000.0,-19613000.0,-77796000.0,2531000.0
2026-03-31,1759127000.0,930473000.0,1242942000.0,404049000.0,810598000.0,367253000.0,328275000.0,516185000.0,526424000.0,283797000.0,49607000.0,-4660000.0,-14352000.0,44477000.0,-5130000.0,,100000000.0
