,Total Assets,Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Total Debt,Cash And Cash Equivalents,Stockholders Equity,Working Capital,Retained Earnings
2024-12-31,139526000.0,67959000.0,36549000.0,22949000.0,18953000.0,16309000.0,97757000.0,45010000.0,50135000.0
2025-06-30,130952000.0,60913000.0,32873000.0,19304000.0,17356000.0,10352000.0,94154000.0,41609000.0,47030000.0
2025-12-31,133836000.0,61526000.0,33168000.0,21435000.0,17835000.0,14463000.0,96343000.0,40091000.0,49431000.0
